id,website,category,ASIN_number,title,price,brand,model_name,memory_storage,ram,color,link
1,Amazon,Phones,B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,39.88,MOTOROLA INC,Moto G Play,4 GB,4 GB,BLUE,https://www.amazon.com/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_2?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-2
2,Amazon,Phones,B0CWHXVLXG,Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,149.99,Motorola,Moto G 5G 2024,128 GB,4 GB,Sage Green,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Green/dp/B0CWHXVLXG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-3
3,Amazon,Phones,B0CRWT7WF1,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,87.97,SAMSUNG,A055M,64 GB,4 GB,Black,https://www.amazon.com/Samsung-Dual-SIM-Unlocked-Android-Smartphone/dp/B0CRWT7WF1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-4
4,Amazon,Phones,B0CSB22F9C,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",162.77,Samsung,,128 GB,6 GB,Light Blue,https://www.amazon.com/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB22F9C/ref=sr_1_5?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-5
5,Amazon,Phones,B0CV4NQYFP,"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Navy",324.99,Samsung,Galaxy A35,128 GB,6 GB,Navy,https://www.amazon.com/SAMSUNG-A35-Unlocked-Smartphone-Expandable/dp/B0CV4NQYFP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-6
6,Amazon,Phones,B0DLHNWHRF,"SAMSUNG Galaxy A16 5G A Series Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Blue Black",199.99,Samsung Electornics,Galaxy A16,128 GB,4 GB,Blue Black,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Charging-Expandable/dp/B0DLHNWHRF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-7
7,Amazon,Phones,B0DRDKHRPX,J24 | 2024 | All-Day Battery | GSM Unlocked | 6.5” Display | 3/32GB | 3000mAh | US Version | US Warranty | Blue,49.99,Vortex Cellular,J24,32 GB,32 MB,Blue,https://www.amazon.com/Vortex-J24-All-Day-Unlocked-Warranty/dp/B0DRDKHRPX/ref=sr_1_8?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-8
8,Amazon,Phones,B0CP6DDN1H,Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,109.99,Motorola,Moto G Play 2024,64 GB,4 GB,Sapphire Blue,https://www.amazon.com/Moto-Play-Unlocked-Camera-Sapphire/dp/B0CP6DDN1H/ref=sr_1_9?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-9
9,Amazon,Phones,B0D1ZFS9GH,Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,249.99,Motorola,Moto G Stylus 5G (2024),8 GB,8 GB,Caramel Latte,https://www.amazon.com/Stylus-Unlocked-256GB-Camera-Caramel/dp/B0D1ZFS9GH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-10
10,Amazon,Phones,B0D2JB6HP5,Motorola Edge | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Midnight Blue,299.99,Motorola,motorola edge 2024,256 GB,8 GB,Midnight Blue,https://www.amazon.com/Motorola-Unlocked-256GB-Camera-Midnight/dp/B0D2JB6HP5/ref=sr_1_11?dib=eyJ2IjoiMSJ9.20z4J0iv3heJ5Sc7BUlYF1WgCY3VBtizSD56XzKE1CKtSTB37e7_sJGenTT9FHvGrAIXXYbf9wWUu155ObT70fnr4CGzPmQxBowgVqE77TZrzv8yTi_09_509PD1xl4pPjTtkPBEMu69o8zj998eZndzoB_5GbqMxcElwsrhIslL4vtpuLYJWr4L_QW5eVfyX84KrDjEb-mpcm5uih6K5yr8LLLEzn5hruTJTxIKwOI.J1MqVEsVo2UJdtq4qtSoPCo1pTLpxEz35tHBTR-fBj0&dib_tag=se&keywords=phone&qid=1738506531&sr=8-11
